Threatened species,Year,Series,Value
Czechia,2019,Threatened Species: Invertebrates (number),29
Czechia,2020,Threatened Species: Invertebrates (number),29
Czechia,2004,Threatened Species: Plants (number),4
Czechia,2010,Threatened Species: Plants (number),4
Czechia,2016,Threatened Species: Plants (number),15
Czechia,2017,Threatened Species: Plants (number),15
Czechia,2018,Threatened Species: Plants (number),31
Czechia,2019,Threatened Species: Plants (number),51
Czechia,2020,Threatened Species: Plants (number),61
Czechia,2004,Threatened Species: Total (number),45
Czechia,2010,Threatened Species: Total (number),33
Czechia,2016,Threatened Species: Total (number),53
Czechia,2017,Threatened Species: Total (number),53
Czechia,2018,Threatened Species: Total (number),74
Czechia,2019,Threatened Species: Total (number),94
Czechia,2020,Threatened Species: Total (number),104
Dem. People's Rep. Korea,2004,Threatened Species: Vertebrates (number),40
Dem. People's Rep. Korea,2010,Threatened Species: Vertebrates (number),44
Dem. People's Rep. Korea,2016,Threatened Species: Vertebrates (number),57
Dem. People's Rep. Korea,2017,Threatened Species: Vertebrates (number),58
Dem. People's Rep. Korea,2018,Threatened Species: Vertebrates (number),60
Dem. People's Rep. Korea,2019,Threatened Species: Vertebrates (number),63
Dem. People's Rep. Korea,2020,Threatened Species: Vertebrates (number),66
Dem. People's Rep. Korea,2004,Threatened Species: Invertebrates (number),1
Dem. People's Rep. Korea,2010,Threatened Species: Invertebrates (number),2
Dem. People's Rep. Korea,2016,Threatened Species: Invertebrates (number),3
Dem. People's Rep. Korea,2017,Threatened Species: Invertebrates (number),3
Dem. People's Rep. Korea,2018,Threatened Species: Invertebrates (number),3
Dem. People's Rep. Korea,2019,Threatened Species: Invertebrates (number),3
Dem. People's Rep. Korea,2020,Threatened Species: Invertebrates (number),3
Dem. People's Rep. Korea,2004,Threatened Species: Plants (number),3
Dem. People's Rep. Korea,2010,Threatened Species: Plants (number),6
Dem. People's Rep. Korea,2016,Threatened Species: Plants (number),17
Dem. People's Rep. Korea,2017,Threatened Species: Plants (number),17
Dem. People's Rep. Korea,2018,Threatened Species: Plants (number),17
Dem. People's Rep. Korea,2019,Threatened Species: Plants (number),17
Dem. People's Rep. Korea,2020,Threatened Species: Plants (number),19
Dem. People's Rep. Korea,2004,Threatened Species: Total (number),44
Dem. People's Rep. Korea,2010,Threatened Species: Total (number),52
Dem. People's Rep. Korea,2016,Threatened Species: Total (number),77
Dem. People's Rep. Korea,2017,Threatened Species: Total (number),78
Dem. People's Rep. Korea,2018,Threatened Species: Total (number),80
Dem. People's Rep. Korea,2019,Threatened Species: Total (number),83
Dem. People's Rep. Korea,2020,Threatened Species: Total (number),88
Dem. Rep. of the Congo,2004,Threatened Species: Vertebrates (number),84
Dem. Rep. of the Congo,2010,Threatened Species: Vertebrates (number),162
Dem. Rep. of the Congo,2016,Threatened Species: Vertebrates (number),183
Dem. Rep. of the Congo,2017,Threatened Species: Vertebrates (number),182
Dem. Rep. of the Congo,2018,Threatened Species: Vertebrates (number),187
Dem. Rep. of the Congo,2019,Threatened Species: Vertebrates (number),188
Dem. Rep. of the Congo,2020,Threatened Species: Vertebrates (number),203
Dem. Rep. of the Congo,2004,Threatened Species: Invertebrates (number),22
Dem. Rep. of the Congo,2010,Threatened Species: Invertebrates (number),51
Dem. Rep. of the Congo,2016,Threatened Species: Invertebrates (number),53
Dem. Rep. of the Congo,2017,Threatened Species: Invertebrates (number),53
Dem. Rep. of the Congo,2018,Threatened Species: Invertebrates (number),55
Dem. Rep. of the Congo,2019,Threatened Species: Invertebrates (number),54
Dem. Rep. of the Congo,2020,Threatened Species: Invertebrates (number),54
Dem. Rep. of the Congo,2004,Threatened Species: Plants (number),65
Dem. Rep. of the Congo,2010,Threatened Species: Plants (number),83
Dem. Rep. of the Congo,2016,Threatened Species: Plants (number),113
Dem. Rep. of the Congo,2017,Threatened Species: Plants (number),114
Dem. Rep. of the Congo,2018,Threatened Species: Plants (number),148
Dem. Rep. of the Congo,2019,Threatened Species: Plants (number),185
Dem. Rep. of the Congo,2020,Threatened Species: Plants (number),240
Dem. Rep. of the Congo,2004,Threatened Species: Total (number),171
Dem. Rep. of the Congo,2010,Threatened Species: Total (number),296
Dem. Rep. of the Congo,2016,Threatened Species: Total (number),349
Dem. Rep. of the Congo,2017,Threatened Species: Total (number),349
Dem. Rep. of the Congo,2018,Threatened Species: Total (number),390
Dem. Rep. of the Congo,2019,Threatened Species: Total (number),427
Dem. Rep. of the Congo,2020,Threatened Species: Total (number),497
Denmark,2004,Threatened Species: Vertebrates (number),21
Denmark,2010,Threatened Species: Vertebrates (number),18
Denmark,2016,Threatened Species: Vertebrates (number),27
Denmark,2017,Threatened Species: Vertebrates (number),28
Denmark,2018,Threatened Species: Vertebrates (number),29
Denmark,2019,Threatened Species: Vertebrates (number),30
Denmark,2020,Threatened Species: Vertebrates (number),31
Denmark,2004,Threatened Species: Invertebrates (number),11
Denmark,2010,Threatened Species: Invertebrates (number),12
Denmark,2016,Threatened Species: Invertebrates (number),15
Denmark,2017,Threatened Species: Invertebrates (number),15
Denmark,2018,Threatened Species: Invertebrates (number),16
Denmark,2019,Threatened Species: Invertebrates (number),16
Denmark,2020,Threatened Species: Invertebrates (number),16
Denmark,2004,Threatened Species: Plants (number),3
Denmark,2010,Threatened Species: Plants (number),3
Denmark,2016,Threatened Species: Plants (number),4
Denmark,2017,Threatened Species: Plants (number),4
Denmark,2018,Threatened Species: Plants (number),4
Denmark,2019,Threatened Species: Plants (number),21
Denmark,2020,Threatened Species: Plants (number),30
Denmark,2004,Threatened Species: Total (number),35
Denmark,2010,Threatened Species: Total (number),33
Denmark,2016,Threatened Species: Total (number),46
Denmark,2017,Threatened Species: Total (number),47
Denmark,2018,Threatened Species: Total (number),49
Denmark,2019,Threatened Species: Total (number),67
Denmark,2020,Threatened Species: Total (number),77
Djibouti,2004,Threatened Species: Vertebrates (number),19
Djibouti,2010,Threatened Species: Vertebrates (number),29
Djibouti,2016,Threatened Species: Vertebrates (number),38
Djibouti,2017,Threatened Species: Vertebrates (number),38
Djibouti,2018,Threatened Species: Vertebrates (number),43
Djibouti,2019,Threatened Species: Vertebrates (number),49
Djibouti,2020,Threatened Species: Vertebrates (number),50
Djibouti,2004,Threatened Species: Invertebrates (number),0
Djibouti,2010,Threatened Species: Invertebrates (number),50
Djibouti,2016,Threatened Species: Invertebrates (number),57
Djibouti,2017,Threatened Species: Invertebrates (number),57
Djibouti,2018,Threatened Species: Invertebrates (number),57
Djibouti,2019,Threatened Species: Invertebrates (number),57
Djibouti,2020,Threatened Species: Invertebrates (number),57
Djibouti,2004,Threatened Species: Plants (number),2
Djibouti,2010,Threatened Species: Plants (number),2
Djibouti,2016,Threatened Species: Plants (number),3
Djibouti,2017,Threatened Species: Plants (number),3
Djibouti,2018,Threatened Species: Plants (number),3
Djibouti,2019,Threatened Species: Plants (number),3
Djibouti,2020,Threatened Species: Plants (number),3
Djibouti,2004,Threatened Species: Total (number),21
Djibouti,2010,Threatened Species: Total (number),81
Djibouti,2016,Threatened Species: Total (number),98
Djibouti,2017,Threatened Species: Total (number),98
Djibouti,2018,Threatened Species: Total (number),103
Djibouti,2019,Threatened Species: Total (number),109
Djibouti,2020,Threatened Species: Total (number),110
Dominica,2004,Threatened Species: Vertebrates (number),22
Dominica,2010,Threatened Species: Vertebrates (number),27
Dominica,2016,Threatened Species: Vertebrates (number),42
Dominica,2017,Threatened Species: Vertebrates (number),44
Dominica,2018,Threatened Species: Vertebrates (number),44
Dominica,2019,Threatened Species: Vertebrates (number),47
Dominica,2020,Threatened Species: Vertebrates (number),51
Dominica,2004,Threatened Species: Invertebrates (number),0
Dominica,2010,Threatened Species: Invertebrates (number),11
Dominica,2016,Threatened Species: Invertebrates (number),11
Dominica,2017,Threatened Species: Invertebrates (number),11
Dominica,2018,Threatened Species: Invertebrates (number),11
Dominica,2019,Threatened Species: Invertebrates (number),11
Dominica,2020,Threatened Species: Invertebrates (number),11
Dominica,2004,Threatened Species: Plants (number),11
Dominica,2010,Threatened Species: Plants (number),10
Dominica,2016,Threatened Species: Plants (number),11
Dominica,2017,Threatened Species: Plants (number),11
Dominica,2018,Threatened Species: Plants (number),11
Dominica,2019,Threatened Species: Plants (number),12
Dominica,2020,Threatened Species: Plants (number),12
Dominica,2004,Threatened Species: Total (number),33
Dominica,2010,Threatened Species: Total (number),48
Dominica,2016,Threatened Species: Total (number),64
Dominica,2017,Threatened Species: Total (number),66
Dominica,2018,Threatened Species: Total (number),66
Dominica,2019,Threatened Species: Total (number),70
Dominica,2020,Threatened Species: Total (number),74
Dominican Republic,2004,Threatened Species: Vertebrates (number),72
Dominican Republic,2010,Threatened Species: Vertebrates (number),80
Dominican Republic,2016,Threatened Species: Vertebrates (number),95
Dominican Republic,2017,Threatened Species: Vertebrates (number),126
Dominican Republic,2018,Threatened Species: Vertebrates (number),130
Dominican Republic,2019,Threatened Species: Vertebrates (number),133
Dominican Republic,2020,Threatened Species: Vertebrates (number),136
Dominican Republic,2004,Threatened Species: Invertebrates (number),2
Dominican Republic,2010,Threatened Species: Invertebrates (number),16
Dominican Republic,2016,Threatened Species: Invertebrates (number),16
Dominican Republic,2017,Threatened Species: Invertebrates (number),16
Dominican Republic,2018,Threatened Species: Invertebrates (number),16
Dominican Republic,2019,Threatened Species: Invertebrates (number),18
Dominican Republic,2020,Threatened Species: Invertebrates (number),19
Dominican Republic,2004,Threatened Species: Plants (number),30
Dominican Republic,2010,Threatened Species: Plants (number),30
Dominican Republic,2016,Threatened Species: Plants (number),42
Dominican Republic,2017,Threatened Species: Plants (number),42
Dominican Republic,2018,Threatened Species: Plants (number),45
Dominican Republic,2019,Threatened Species: Plants (number),49
Dominican Republic,2020,Threatened Species: Plants (number),48
Dominican Republic,2004,Threatened Species: Total (number),104
Dominican Republic,2010,Threatened Species: Total (number),126
Dominican Republic,2016,Threatened Species: Total (number),153
Dominican Republic,2017,Threatened Species: Total (number),184
Dominican Republic,2018,Threatened Species: Total (number),191
Dominican Republic,2019,Threatened Species: Total (number),200
Dominican Republic,2020,Threatened Species: Total (number),203
Ecuador,2004,Threatened Species: Vertebrates (number),288
Ecuador,2010,Threatened Species: Vertebrates (number),356
Ecuador,2016,Threatened Species: Vertebrates (number),417
Ecuador,2017,Threatened Species: Vertebrates (number),426
Ecuador,2018,Threatened Species: Vertebrates (number),434
Ecuador,2019,Threatened Species: Vertebrates (number),441
Ecuador,2020,Threatened Species: Vertebrates (number),470
Ecuador,2004,Threatened Species: Invertebrates (number),48
Ecuador,2010,Threatened Species: Invertebrates (number),62
Ecuador,2016,Threatened Species: Invertebrates (number),70
Ecuador,2017,Threatened Species: Invertebrates (number),70
Ecuador,2018,Threatened Species: Invertebrates (number),70
Ecuador,2019,Threatened Species: Invertebrates (number),70
Ecuador,2020,Threatened Species: Invertebrates (number),70
Ecuador,2004,Threatened Species: Plants (number),1815
Ecuador,2010,Threatened Species: Plants (number),1837
Ecuador,2016,Threatened Species: Plants (number),1866
Ecuador,2017,Threatened Species: Plants (number),1862
Ecuador,2018,Threatened Species: Plants (number),1864
Ecuador,2019,Threatened Species: Plants (number),1882
Ecuador,2020,Threatened Species: Plants (number),1961
Ecuador,2004,Threatened Species: Total (number),2151
Ecuador,2010,Threatened Species: Total (number),2255
Ecuador,2016,Threatened Species: Total (number),2353
Ecuador,2017,Threatened Species: Total (number),2358
Ecuador,2018,Threatened Species: Total (number),2368
Ecuador,2019,Threatened Species: Total (number),2393
Ecuador,2020,Threatened Species: Total (number),2501
Egypt,2004,Threatened Species: Vertebrates (number),43
Egypt,2010,Threatened Species: Vertebrates (number),73
Egypt,2016,Threatened Species: Vertebrates (number),96
Egypt,2017,Threatened Species: Vertebrates (number),97
Egypt,2018,Threatened Species: Vertebrates (number),99
Egypt,2019,Threatened Species: Vertebrates (number),105
Egypt,2020,Threatened Species: Vertebrates (number),107
Egypt,2004,Threatened Species: Invertebrates (number),1
Egypt,2010,Threatened Species: Invertebrates (number),46
Egypt,2016,Threatened Species: Invertebrates (number),56
Egypt,2017,Threatened Species: Invertebrates (number),56
Egypt,2018,Threatened Species: Invertebrates (number),56
Egypt,2019,Threatened Species: Invertebrates (number),56
Egypt,2020,Threatened Species: Invertebrates (number),57
Egypt,2004,Threatened Species: Plants (number),2
Egypt,2010,Threatened Species: Plants (number),2
Egypt,2016,Threatened Species: Plants (number),3
Egypt,2017,Threatened Species: Plants (number),3
Egypt,2018,Threatened Species: Plants (number),8
Egypt,2019,Threatened Species: Plants (number),8
Egypt,2020,Threatened Species: Plants (number),8
Egypt,2004,Threatened Species: Total (number),46
Egypt,2010,Threatened Species: Total (number),121
Egypt,2016,Threatened Species: Total (number),155
Egypt,2017,Threatened Species: Total (number),156
Egypt,2018,Threatened Species: Total (number),163
Egypt,2019,Threatened Species: Total (number),169
Egypt,2020,Threatened Species: Total (number),172
El Salvador,2004,Threatened Species: Vertebrates (number),23
El Salvador,2010,Threatened Species: Vertebrates (number),39
El Salvador,2016,Threatened Species: Vertebrates (number),47
El Salvador,2017,Threatened Species: Vertebrates (number),47
El Salvador,2018,Threatened Species: Vertebrates (number),47
El Salvador,2019,Threatened Species: Vertebrates (number),50
El Salvador,2020,Threatened Species: Vertebrates (number),55
El Salvador,2004,Threatened Species: Invertebrates (number),1
El Salvador,2010,Threatened Species: Invertebrates (number),6
El Salvador,2016,Threatened Species: Invertebrates (number),10
El Salvador,2017,Threatened Species: Invertebrates (number),10
El Salvador,2018,Threatened Species: Invertebrates (number),10
El Salvador,2019,Threatened Species: Invertebrates (number),10
El Salvador,2020,Threatened Species: Invertebrates (number),10
El Salvador,2004,Threatened Species: Plants (number),25
El Salvador,2010,Threatened Species: Plants (number),27
El Salvador,2016,Threatened Species: Plants (number),29
El Salvador,2017,Threatened Species: Plants (number),29
El Salvador,2018,Threatened Species: Plants (number),30
El Salvador,2019,Threatened Species: Plants (number),33
El Salvador,2020,Threatened Species: Plants (number),42
El Salvador,2004,Threatened Species: Total (number),49
El Salvador,2010,Threatened Species: Total (number),72
El Salvador,2016,Threatened Species: Total (number),86
El Salvador,2017,Threatened Species: Total (number),86
El Salvador,2018,Threatened Species: Total (number),87
El Salvador,2019,Threatened Species: Total (number),93
El Salvador,2020,Threatened Species: Total (number),107
Equatorial Guinea,2004,Threatened Species: Vertebrates (number),38
Equatorial Guinea,2010,Threatened Species: Vertebrates (number),60
Equatorial Guinea,2016,Threatened Species: Vertebrates (number),85
Equatorial Guinea,2017,Threatened Species: Vertebrates (number),85
Equatorial Guinea,2018,Threatened Species: Vertebrates (number),86
Equatorial Guinea,2019,Threatened Species: Vertebrates (number),88
Equatorial Guinea,2020,Threatened Species: Vertebrates (number),94
Equatorial Guinea,2004,Threatened Species: Invertebrates (number),2
Equatorial Guinea,2010,Threatened Species: Invertebrates (number),2
Equatorial Guinea,2016,Threatened Species: Invertebrates (number),5
Equatorial Guinea,2017,Threatened Species: Invertebrates (number),5
Equatorial Guinea,2018,Threatened Species: Invertebrates (number),4
Equatorial Guinea,2019,Threatened Species: Invertebrates (number),4
Equatorial Guinea,2020,Threatened Species: Invertebrates (number),4
Equatorial Guinea,2004,Threatened Species: Plants (number),61
Equatorial Guinea,2010,Threatened Species: Plants (number),68
Equatorial Guinea,2016,Threatened Species: Plants (number),88
Equatorial Guinea,2017,Threatened Species: Plants (number),87
Equatorial Guinea,2018,Threatened Species: Plants (number),95
Equatorial Guinea,2019,Threatened Species: Plants (number),98
Equatorial Guinea,2020,Threatened Species: Plants (number),107
Equatorial Guinea,2004,Threatened Species: Total (number),101
Equatorial Guinea,2010,Threatened Species: Total (number),130
Equatorial Guinea,2016,Threatened Species: Total (number),178
Equatorial Guinea,2017,Threatened Species: Total (number),177
Equatorial Guinea,2018,Threatened Species: Total (number),185
Equatorial Guinea,2019,Threatened Species: Total (number),190
Equatorial Guinea,2020,Threatened Species: Total (number),205
Eritrea,2004,Threatened Species: Vertebrates (number),31
Eritrea,2010,Threatened Species: Vertebrates (number),44
Eritrea,2016,Threatened Species: Vertebrates (number),58
Eritrea,2017,Threatened Species: Vertebrates (number),59
Eritrea,2018,Threatened Species: Vertebrates (number),67
Eritrea,2019,Threatened Species: Vertebrates (number),74
Eritrea,2020,Threatened Species: Vertebrates (number),79
Eritrea,2004,Threatened Species: Invertebrates (number),0
Eritrea,2010,Threatened Species: Invertebrates (number),50
Eritrea,2016,Threatened Species: Invertebrates (number),58
Eritrea,2017,Threatened Species: Invertebrates (number),58
Eritrea,2018,Threatened Species: Invertebrates (number),58
Eritrea,2019,Threatened Species: Invertebrates (number),58
Eritrea,2020,Threatened Species: Invertebrates (number),58
Eritrea,2004,Threatened Species: Plants (number),3
Eritrea,2010,Threatened Species: Plants (number),3
Eritrea,2016,Threatened Species: Plants (number),4
Eritrea,2017,Threatened Species: Plants (number),5
Eritrea,2018,Threatened Species: Plants (number),5
Eritrea,2019,Threatened Species: Plants (number),6
Eritrea,2020,Threatened Species: Plants (number),6
Eritrea,2004,Threatened Species: Total (number),34
Eritrea,2010,Threatened Species: Total (number),97
Eritrea,2016,Threatened Species: Total (number),120
Eritrea,2017,Threatened Species: Total (number),122
Eritrea,2018,Threatened Species: Total (number),130
Eritrea,2019,Threatened Species: Total (number),138
Eritrea,2020,Threatened Species: Total (number),143
Estonia,2004,Threatened Species: Vertebrates (number),8
Estonia,2010,Threatened Species: Vertebrates (number),8
Estonia,2016,Threatened Species: Vertebrates (number),14
Estonia,2017,Threatened Species: Vertebrates (number),15
Estonia,2018,Threatened Species: Vertebrates (number),15
Estonia,2019,Threatened Species: Vertebrates (number),15
Estonia,2020,Threatened Species: Vertebrates (number),15
Estonia,2004,Threatened Species: Invertebrates (number),4
Estonia,2010,Threatened Species: Invertebrates (number),3
Estonia,2016,Threatened Species: Invertebrates (number),6
Estonia,2017,Threatened Species: Invertebrates (number),6
Estonia,2018,Threatened Species: Invertebrates (number),7
Estonia,2019,Threatened Species: Invertebrates (number),7
Estonia,2020,Threatened Species: Invertebrates (number),7
Estonia,2004,Threatened Species: Plants (number),0
Estonia,2010,Threatened Species: Plants (number),0
Estonia,2016,Threatened Species: Plants (number),2
Estonia,2017,Threatened Species: Plants (number),2
Estonia,2018,Threatened Species: Plants (number),2
Estonia,2019,Threatened Species: Plants (number),17
Estonia,2020,Threatened Species: Plants (number),26
Estonia,2004,Threatened Species: Total (number),12
Estonia,2010,Threatened Species: Total (number),11
Estonia,2016,Threatened Species: Total (number),22
Estonia,2017,Threatened Species: Total (number),23
Estonia,2018,Threatened Species: Total (number),24
Estonia,2019,Threatened Species: Total (number),39
Estonia,2020,Threatened Species: Total (number),48
Eswatini,2004,Threatened Species: Vertebrates (number),12
Eswatini,2010,Threatened Species: Vertebrates (number),18
Eswatini,2016,Threatened Species: Vertebrates (number),25
Eswatini,2017,Threatened Species: Vertebrates (number),23
Eswatini,2018,Threatened Species: Vertebrates (number),26
Eswatini,2019,Threatened Species: Vertebrates (number),28
Eswatini,2020,Threatened Species: Vertebrates (number),28
Eswatini,2004,Threatened Species: Invertebrates (number),0
Eswatini,2010,Threatened Species: Invertebrates (number),0
Eswatini,2016,Threatened Species: Invertebrates (number),0
Eswatini,2017,Threatened Species: Invertebrates (number),0
Eswatini,2018,Threatened Species: Invertebrates (number),0
Eswatini,2019,Threatened Species: Invertebrates (number),0
Eswatini,2020,Threatened Species: Invertebrates (number),0
Eswatini,2004,Threatened Species: Plants (number),11
Eswatini,2010,Threatened Species: Plants (number),11
Eswatini,2016,Threatened Species: Plants (number),11
Eswatini,2017,Threatened Species: Plants (number),11
Eswatini,2018,Threatened Species: Plants (number),12
Eswatini,2019,Threatened Species: Plants (number),13
Eswatini,2020,Threatened Species: Plants (number),13
Eswatini,2004,Threatened Species: Total (number),23
Eswatini,2010,Threatened Species: Total (number),29
Eswatini,2016,Threatened Species: Total (number),36
Eswatini,2017,Threatened Species: Total (number),34
Eswatini,2018,Threatened Species: Total (number),38
Eswatini,2019,Threatened Species: Total (number),41
Eswatini,2020,Threatened Species: Total (number),41
Ethiopia,2004,Threatened Species: Vertebrates (number),65
Ethiopia,2010,Threatened Species: Vertebrates (number),79
Ethiopia,2016,Threatened Species: Vertebrates (number),92
Ethiopia,2017,Threatened Species: Vertebrates (number),90
Ethiopia,2018,Threatened Species: Vertebrates (number),95
Ethiopia,2019,Threatened Species: Vertebrates (number),99
Ethiopia,2020,Threatened Species: Vertebrates (number),101
Ethiopia,2004,Threatened Species: Invertebrates (number),6
Ethiopia,2010,Threatened Species: Invertebrates (number),15
Ethiopia,2016,Threatened Species: Invertebrates (number),15
Ethiopia,2017,Threatened Species: Invertebrates (number),15
Ethiopia,2018,Threatened Species: Invertebrates (number),15
Ethiopia,2019,Threatened Species: Invertebrates (number),15
Ethiopia,2020,Threatened Species: Invertebrates (number),15
Ethiopia,2004,Threatened Species: Plants (number),22
Ethiopia,2010,Threatened Species: Plants (number),26
Ethiopia,2016,Threatened Species: Plants (number),41
Ethiopia,2017,Threatened Species: Plants (number),43
Ethiopia,2018,Threatened Species: Plants (number),47
Ethiopia,2019,Threatened Species: Plants (number),64
Ethiopia,2020,Threatened Species: Plants (number),64
Ethiopia,2004,Threatened Species: Total (number),93
Ethiopia,2010,Threatened Species: Total (number),120
Ethiopia,2016,Threatened Species: Total (number),148
Ethiopia,2017,Threatened Species: Total (number),148
Ethiopia,2018,Threatened Species: Total (number),157
Ethiopia,2019,Threatened Species: Total (number),178
Ethiopia,2020,Threatened Species: Total (number),180
Falkland Islands (Malvinas),2004,Threatened Species: Vertebrates (number),21
Falkland Islands (Malvinas),2010,Threatened Species: Vertebrates (number),18
Falkland Islands (Malvinas),2016,Threatened Species: Vertebrates (number),18
Falkland Islands (Malvinas),2017,Threatened Species: Vertebrates (number),18
Falkland Islands (Malvinas),2018,Threatened Species: Vertebrates (number),17
Falkland Islands (Malvinas),2019,Threatened Species: Vertebrates (number),17
Falkland Islands (Malvinas),2020,Threatened Species: Vertebrates (number),18
Falkland Islands (Malvinas),2004,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2010,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2016,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2017,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2018,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2019,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2020,Threatened Species: Invertebrates (number),0
Falkland Islands (Malvinas),2004,Threatened Species: Plants (number),5
Falkland Islands (Malvinas),2010,Threatened Species: Plants (number),5
Falkland Islands (Malvinas),2016,Threatened Species: Plants (number),5
Falkland Islands (Malvinas),2017,Threatened Species: Plants (number),5
Falkland Islands (Malvinas),2018,Threatened Species: Plants (number),5
Falkland Islands (Malvinas),2019,Threatened Species: Plants (number),6
Falkland Islands (Malvinas),2020,Threatened Species: Plants (number),6
Falkland Islands (Malvinas),2004,Threatened Species: Total (number),26
Falkland Islands (Malvinas),2010,Threatened Species: Total (number),23
Falkland Islands (Malvinas),2016,Threatened Species: Total (number),23
Falkland Islands (Malvinas),2017,Threatened Species: Total (number),23
Falkland Islands (Malvinas),2018,Threatened Species: Total (number),22
Falkland Islands (Malvinas),2019,Threatened Species: Total (number),23
Falkland Islands (Malvinas),2020,Threatened Species: Total (number),24
Faroe Islands,2004,Threatened Species: Vertebrates (number),11
Faroe Islands,2010,Threatened Species: Vertebrates (number),13
Faroe Islands,2016,Threatened Species: Vertebrates (number),20
Faroe Islands,2017,Threatened Species: Vertebrates (number),20
Faroe Islands,2018,Threatened Species: Vertebrates (number),22
Faroe Islands,2019,Threatened Species: Vertebrates (number),23
Faroe Islands,2020,Threatened Species: Vertebrates (number),24
Faroe Islands,2004,Threatened Species: Invertebrates (number),0
Faroe Islands,2010,Threatened Species: Invertebrates (number),0
Faroe Islands,2016,Threatened Species: Invertebrates (number),0
Faroe Islands,2017,Threatened Species: Invertebrates (number),0
Faroe Islands,2018,Threatened Species: Invertebrates (number),0
Faroe Islands,2019,Threatened Species: Invertebrates (number),0
Faroe Islands,2020,Threatened Species: Invertebrates (number),0
Faroe Islands,2004,Threatened Species: Plants (number),0
Faroe Islands,2010,Threatened Species: Plants (number),0
Faroe Islands,2016,Threatened Species: Plants (number),1
Faroe Islands,2017,Threatened Species: Plants (number),1
Faroe Islands,2018,Threatened Species: Plants (number),1
Faroe Islands,2019,Threatened Species: Plants (number),4
Faroe Islands,2020,Threatened Species: Plants (number),5
Faroe Islands,2004,Threatened Species: Total (number),11
Faroe Islands,2010,Threatened Species: Total (number),13
Faroe Islands,2016,Threatened Species: Total (number),21
Faroe Islands,2017,Threatened Species: Total (number),21
Faroe Islands,2018,Threatened Species: Total (number),23
Faroe Islands,2019,Threatened Species: Total (number),27
Faroe Islands,2020,Threatened Species: Total (number),29
Fiji,2004,Threatened Species: Vertebrates (number),33
Fiji,2010,Threatened Species: Vertebrates (number),37
Fiji,2016,Threatened Species: Vertebrates (number),52
Fiji,2017,Threatened Species: Vertebrates (number),55
Fiji,2018,Threatened Species: Vertebrates (number),55
Fiji,2019,Threatened Species: Vertebrates (number),57
Fiji,2020,Threatened Species: Vertebrates (number),62
Fiji,2004,Threatened Species: Invertebrates (number),2
Fiji,2010,Threatened Species: Invertebrates (number),90
Fiji,2016,Threatened Species: Invertebrates (number),165
Fiji,2017,Threatened Species: Invertebrates (number),165
Fiji,2018,Threatened Species: Invertebrates (number),165
Fiji,2019,Threatened Species: Invertebrates (number),165
Fiji,2020,Threatened Species: Invertebrates (number),172
Fiji,2004,Threatened Species: Plants (number),66
Fiji,2010,Threatened Species: Plants (number),65
Fiji,2016,Threatened Species: Plants (number),65
Fiji,2017,Threatened Species: Plants (number),71
Fiji,2018,Threatened Species: Plants (number),78
Fiji,2019,Threatened Species: Plants (number),78
Fiji,2020,Threatened Species: Plants (number),87
Fiji,2004,Threatened Species: Total (number),101
Fiji,2010,Threatened Species: Total (number),192
Fiji,2016,Threatened Species: Total (number),282
Fiji,2017,Threatened Species: Total (number),291
Fiji,2018,Threatened Species: Total (number),298
Fiji,2019,Threatened Species: Total (number),300
Fiji,2020,Threatened Species: Total (number),321
Finland,2004,Threatened Species: Vertebrates (number),14
Finland,2010,Threatened Species: Vertebrates (number),10
Finland,2016,Threatened Species: Vertebrates (number),17
Finland,2017,Threatened Species: Vertebrates (number),18
Finland,2018,Threatened Species: Vertebrates (number),19
Finland,2019,Threatened Species: Vertebrates (number),19
Finland,2020,Threatened Species: Vertebrates (number),19
Finland,2004,Threatened Species: Invertebrates (number),10
Finland,2010,Threatened Species: Invertebrates (number),7
Finland,2016,Threatened Species: Invertebrates (number),10
Finland,2017,Threatened Species: Invertebrates (number),10
Finland,2018,Threatened Species: Invertebrates (number),10
Finland,2019,Threatened Species: Invertebrates (number),10
Finland,2020,Threatened Species: Invertebrates (number),10
Finland,2004,Threatened Species: Plants (number),1
Finland,2010,Threatened Species: Plants (number),1
Finland,2016,Threatened Species: Plants (number),8
Finland,2017,Threatened Species: Plants (number),8
Finland,2018,Threatened Species: Plants (number),8
Finland,2019,Threatened Species: Plants (number),21
Finland,2020,Threatened Species: Plants (number),32
Finland,2004,Threatened Species: Total (number),25
Finland,2010,Threatened Species: Total (number),18
Finland,2016,Threatened Species: Total (number),35
Finland,2017,Threatened Species: Total (number),36
Finland,2018,Threatened Species: Total (number),37
Finland,2019,Threatened Species: Total (number),50
Finland,2020,Threatened Species: Total (number),61
France,2004,Threatened Species: Vertebrates (number),53
France,2010,Threatened Species: Vertebrates (number),62
France,2016,Threatened Species: Vertebrates (number),80
France,2017,Threatened Species: Vertebrates (number),82
France,2018,Threatened Species: Vertebrates (number),84
France,2019,Threatened Species: Vertebrates (number),84
